FlowPattern,OccurrenceCount
2-2 -> 17-5 -> 3-5 -> 3-5,5
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 22-2 -> 22-3,3
2-2 -> 2-3 -> 11-2 -> 11-3 -> 6-4 -> 6-2 -> 6-3 -> 18-5,2
2-2 -> 2-3 -> 3-5 -> 2-3 -> 11-2 -> 11-3 -> 17-5,3
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 3-5,2
2-2 -> 2-3 -> 15-2 -> 2-3 -> 15-2 -> 2-3 -> 10-2 -> 10-3 -> 17-5,42
2-2 -> 2-3 -> 15-2 -> 2-3 -> 7-4 -> 3-5,1
2-2 -> 2-3 -> 10-2 -> 10-3 -> 17-5 -> 3-5 -> 17-5,8
2-2 -> 2-3 -> 9-2 -> 9-3 -> 9-4 -> 14-2 -> 14-3 -> 17-5 -> 3-5,1
2-2 -> 2-3 -> 3-5 -> 2-3 -> 10-2 -> 10-3 -> 17-5,8
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 4-4 -> 4-2 -> 4-3 -> 10-2 -> 10-3 -> 17-5,28
2-2 -> 2-3 -> 10-2 -> 3-5 -> 10-2 -> 10-3 -> 17-5,8
2-2 -> 2-3 -> 22-2 -> 22-3 -> 22-2 -> 3-5,2
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 22-2 -> 22-3 -> 3-5 -> 3-5,1
2-2 -> 2-3 -> 11-2 -> 3-5 -> 11-2 -> 11-3 -> 17-5,2
2-2 -> 2-3 -> 22-2 -> 3-5,10
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 20-2 -> 20-3 -> 21-4,5
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 19-2,1
2-2 -> 2-3 -> 24-2 -> 24-3 -> 21-4,2
2-2 -> 2-3 -> 19-2 -> 19-3 -> 18-5,38
2-2 -> 2-3 -> 4-4 -> 4-2 -> 3-5,1
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 4-4 -> 4-2 -> 4-3 -> 7-4,5
2-2 -> 2-3 -> 24-2 -> 24-3 -> 21-4 -> 21-2 -> 21-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 22-2 -> 22-3 -> 17-5,4
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 19-2 -> 19-3 -> 15-2 -> 2-3 -> 10-2 -> 10-3 -> 17-5,1
2-2 -> 2-3 -> 19-2 -> 19-3 -> 6-4,5
2-2 -> 2-3 -> 23-2 -> 23-3 -> 21-4 -> 21-2 -> 21-3 -> 22-2 -> 22-3 -> 17-5,5
2-2 -> 2-3 -> 23-2 -> 23-3 -> 3-5 -> 23-3 -> 18-5,3
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 11-2 -> 11-3 -> 6-4 -> 6-2 -> 6-3 -> 18-5,2
2-2 -> 2-3 -> 3-5 -> 3-5,1
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3,68
2-2 -> 2-3 -> 9-2 -> 9-3 -> 9-4 -> 3-5,8
2-2 -> 3-5,1876
2-2 -> 2-3 -> 19-2,9
2-2 -> 2-3 -> 10-2 -> 10-3 -> 17-5 -> 3-5 -> 3-5,1
2-2 -> 2-3 -> 11-2 -> 11-3 -> 18-5,5
2-2 -> 2-3 -> 19-2 -> 19-3 -> 6-4 -> 6-2 -> 6-3 -> 17-5,1
2-2 -> 2-3 -> 7-4 -> 12-2 -> 12-3 -> 10-2 -> 10-3 -> 17-5,94
2-2 -> 2-3 -> 20-2 -> 3-5,2
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 7-4 -> 3-5,5
2-2 -> 2-3 -> 23-2 -> 23-3,7
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 24-2 -> 24-3 -> 17-5,1
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 20-2 -> 20-3 -> 17-5,1
2-2 -> 2-3 -> 9-2 -> 3-5,4
2-2 -> 2-3 -> 15-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 10-2 -> 10-3 -> 17-5,5
2-2 -> 2-3 -> 15-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 11-2 -> 11-3 -> 17-5,1
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 3-5,3
2-2 -> 2-3 -> 19-2 -> 19-3 -> 6-4 -> 6-2 -> 6-3 -> 18-5,2
2-2 -> 2-3 -> 7-4 -> 3-5,26
2-2 -> 2-3 -> 4-4 -> 3-5,43
2-2 -> 2-3 -> 11-2 -> 11-3 -> 3-5 -> 3-5,25
2-2 -> 2-3 -> 15-2 -> 2-3 -> 10-2,1
2-2 -> 3-5 -> 2-2 -> 2-3 -> 7-4,1
2-2 -> 2-3 -> 10-2 -> 10-3 -> 6-4,2
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 4-4 -> 4-2 -> 4-3 -> 7-4 -> 12-2 -> 12-3 -> 8-4,1
2-2 -> 2-3 -> 7-4 -> 12-2 -> 12-3 -> 4-4 -> 4-2 -> 4-3 -> 10-2 -> 10-3 -> 17-5,4
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 4-4 -> 3-5,1
2-2 -> 2-3 -> 22-2 -> 22-3 -> 3-5 -> 22-3 -> 17-5,8
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 9-2 -> 9-3 -> 9-4 -> 3-5,1
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 23-2 -> 23-3 -> 17-5,1
2-2 -> 2-3 -> 20-2 -> 20-3 -> 20-2 -> 3-5,1
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 22-2 -> 22-3 -> 17-5,1
2-2 -> 2-3 -> 9-2 -> 9-3 -> 17-5,2
2-2 -> 2-3 -> 10-2 -> 3-5,146
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 7-4 -> 12-2 -> 12-3 -> 8-4,7
2-2 -> 2-3 -> 9-2,7
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 15-2 -> 2-3 -> 10-2 -> 10-3 -> 17-5,17
2-2 -> 2-3 -> 3-5 -> 2-3 -> 3-5 -> 2-3 -> 3-5,1
2-2 -> 2-3 -> 4-4 -> 4-2,1
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 19-2 -> 3-5,3
2-2 -> 2-3 -> 15-2 -> 2-3 -> 11-2 -> 11-3 -> 17-5 -> 3-5,1
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4,117
2-2 -> 17-5 -> 3-5,488
2-2 -> 2-3 -> 22-2 -> 22-3 -> 17-5 -> 3-5 -> 17-5 -> 17-5,1
2-2 -> 2-3 -> 15-2 -> 2-3 -> 10-2 -> 3-5,1
2-2 -> 2-3 -> 4-4,562
2-2 -> 2-3 -> 20-2 -> 20-3 -> 17-5,4
2-2 -> 2-3 -> 23-2 -> 23-3 -> 18-5 -> 3-5,3
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 15-2 -> 2-3 -> 10-2 -> 10-3 -> 17-5,1
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 19-2 -> 19-3 -> 17-5,4
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 10-2,1
2-2 -> 2-3 -> 23-2 -> 23-3 -> 21-4,2
2-2 -> 2-3 -> 24-2 -> 24-3 -> 17-5,12
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 5-4 -> 5-2 -> 5-3 -> 9-2 -> 9-3 -> 9-4,4
2-2 -> 3-5 -> 2-2 -> 2-3 -> 10-2 -> 10-3 -> 17-5,17
2-2 -> 2-3 -> 7-4 -> 12-2 -> 12-3 -> 8-4,66
2-2 -> 2-3 -> 15-2 -> 2-3 -> 7-4 -> 12-2 -> 12-3 -> 8-4,1
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 4-4 -> 4-2 -> 4-3,1
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 3-5,6
2-2 -> 2-3 -> 7-4 -> 12-2 -> 12-3 -> 19-2 -> 19-3 -> 17-5,1
2-2 -> 2-3 -> 11-2 -> 3-5 -> 11-2 -> 3-5,1
2-2 -> 2-3 -> 24-2 -> 24-3 -> 17-5 -> 3-5,1
2-2 -> 2-3 -> 9-2 -> 9-3 -> 9-4 -> 14-2,2
2-2 -> 2-3 -> 15-2 -> 2-3 -> 11-2 -> 11-3 -> 17-5,34
2-2 -> 2-3 -> 23-2 -> 23-3 -> 17-5,4
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 5-4,1
2-2 -> 2-3 -> 5-4,226
2-2 -> 2-3 -> 2-3 -> 9-2 -> 9-3 -> 9-4,1
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 9-2 -> 9-3 -> 9-4 -> 14-2 -> 14-3 -> 18-5,1
2-2 -> 2-3 -> 20-2 -> 20-3 -> 3-5 -> 3-5,4
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 10-2 -> 10-3 -> 17-5 -> 3-5,5
2-2 -> 2-3 -> 7-4,1702
2-2 -> 2-3 -> 22-2 -> 22-3 -> 21-4 -> 21-2 -> 21-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 22-2 -> 22-3,1
2-2 -> 2-3 -> 23-2 -> 23-3 -> 18-5,341
2-2 -> 2-3 -> 7-4 -> 12-2 -> 12-3 -> 19-2 -> 19-3 -> 18-5,1
2-2 -> 2-3 -> 24-2 -> 24-3 -> 21-4 -> 21-2 -> 21-3 -> 20-2 -> 20-3 -> 21-4,1
2-2 -> 2-3 -> 10-2,438
2-2 -> 2-3 -> 15-2 -> 2-3 -> 19-2 -> 19-3 -> 17-5,2
2-2 -> 2-3 -> 10-2 -> 10-3 -> 3-5 -> 3-5,60
2-2 -> 2-3 -> 9-2 -> 9-3 -> 9-4,1103
2-2 -> 2-3 -> 22-2 -> 22-3,173
2-2 -> 17-5,51108
2-2 -> 2-3 -> 24-2 -> 24-3 -> 21-4 -> 21-2 -> 21-3 -> 22-2 -> 22-3 -> 17-5,9
2-2 -> 2-3 -> 20-2 -> 20-3,26
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 7-4 -> 12-2 -> 12-3 -> 10-2 -> 10-3 -> 17-5,3
2-2 -> 2-3 -> 22-2 -> 3-5 -> 22-2 -> 22-3 -> 3-5 -> 3-5,1
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 23-2 -> 23-3 -> 18-5,57
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 4-4 -> 4-2 -> 4-3 -> 7-4 -> 12-2 -> 12-3 -> 8-4 -> 13-2 -> 13-3 -> 17-5,1
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3,15
2-2 -> 2-3 -> 22-2 -> 22-3 -> 3-5 -> 22-3 -> 17-5 -> 3-5 -> 3-5,2
2-2 -> 2-3 -> 15-2 -> 2-3 -> 10-2 -> 10-3 -> 3-5 -> 3-5,1
2-2 -> 2-3 -> 10-2 -> 10-3 -> 18-5,21
2-2 -> 2-3 -> 11-2,285
2-2 -> 2-3 -> 7-4 -> 12-2,1
2-2 -> 2-3 -> 10-2 -> 10-3 -> 17-5 -> 3-5,294
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 19-2 -> 19-3 -> 17-5,2
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 19-2 -> 19-3 -> 18-5,1
2-2 -> 2-3 -> 3-5 -> 2-3 -> 22-2 -> 22-3 -> 17-5,1
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 11-2,5
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 9-2 -> 9-3 -> 9-4,39
2-2 -> 2-3,2628
2-2 -> 2-3 -> 9-2 -> 9-3 -> 9-4 -> 14-2 -> 14-3 -> 17-5,111
2-2 -> 2-3 -> 7-4 -> 12-2 -> 12-3 -> 15-2 -> 2-3 -> 10-2 -> 10-3 -> 17-5,6
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 22-2 -> 3-5,1
2-2 -> 3-5 -> 2-2 -> 3-5,1
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 20-2 -> 20-3 -> 21-4,1
2-2 -> 2-3 -> 3-5 -> 2-3,1
2-2 -> 2-3 -> 22-2 -> 22-3 -> 21-4 -> 21-2 -> 21-3 -> 22-2 -> 22-3 -> 17-5,3
2-2 -> 2-3 -> 2-3 -> 10-2 -> 10-3 -> 17-5,20
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 9-2 -> 9-3 -> 6-4 -> 6-2 -> 6-3 -> 18-5,1
2-2 -> 2-3 -> 7-4 -> 12-2 -> 12-3 -> 8-4 -> 13-2 -> 13-3 -> 17-5,16
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 24-2 -> 24-3 -> 21-4 -> 21-2 -> 21-3 -> 23-2 -> 23-3 -> 18-5,1
2-2 -> 2-3 -> 22-2 -> 22-3 -> 17-5,7022
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 10-2 -> 10-3 -> 17-5,959
2-2 -> 2-3 -> 7-4 -> 12-2 -> 12-3 -> 10-2 -> 10-3 -> 17-5 -> 3-5,1
2-2 -> 2-3 -> 22-2 -> 3-5 -> 22-2 -> 22-3 -> 17-5,3
2-2 -> 2-3 -> 7-4 -> 3-5 -> 7-4 -> 3-5,1
2-2 -> 2-3 -> 11-2 -> 3-5,64
2-2 -> 2-3 -> 11-2 -> 11-3 -> 17-5 -> 3-5 -> 17-5,6
2-2 -> 2-3 -> 22-2 -> 22-3 -> 17-5 -> 3-5 -> 17-5 -> 3-5 -> 17-5,3
2-2 -> 2-3 -> 15-2 -> 2-3 -> 4-4,13
2-2 -> 2-3 -> 7-4 -> 12-2 -> 12-3 -> 4-4 -> 4-2 -> 4-3,3
2-2 -> 2-3 -> 7-4 -> 12-2 -> 12-3 -> 4-4 -> 4-2 -> 4-3 -> 7-4,2
2-2 -> 2-3 -> 11-2 -> 11-3 -> 6-4,15
2-2 -> 2-3 -> 3-5,534
2-2 -> 2-3 -> 22-2 -> 22-3 -> 17-5 -> 3-5 -> 17-5 -> 3-5 -> 3-5,1
2-2 -> 2-3 -> 22-2 -> 22-3 -> 3-5 -> 3-5,40
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 5-4 -> 5-2 -> 5-3 -> 11-2 -> 11-3 -> 17-5,6
2-2 -> 2-3 -> 10-2 -> 10-3 -> 6-4 -> 6-2 -> 6-3 -> 17-5,1
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 24-2 -> 24-3 -> 21-4 -> 21-2 -> 21-3 -> 24-2 -> 24-3,2
2-2 -> 2-3 -> 22-2 -> 22-3 -> 18-5,11
2-2 -> 2-3 -> 15-2 -> 2-3 -> 7-4 -> 12-2 -> 12-3 -> 4-4 -> 4-2 -> 4-3 -> 7-4,1
2-2 -> 2-3 -> 7-4 -> 12-2 -> 12-3 -> 8-4 -> 13-2 -> 13-3 -> 18-5,8
2-2 -> 2-3 -> 11-2 -> 11-3 -> 3-5 -> 3-5 -> 3-5,1
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 7-4 -> 12-2 -> 12-3 -> 8-4 -> 13-2 -> 13-3 -> 17-5,2
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 23-2 -> 23-3 -> 21-4 -> 21-2 -> 21-3 -> 22-2 -> 22-3 -> 17-5,4
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 24-2 -> 24-3 -> 21-4 -> 21-2 -> 21-3 -> 24-2 -> 24-3 -> 17-5,1
2-2 -> 2-3 -> 15-2 -> 2-3 -> 10-2 -> 10-3 -> 17-5,545
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 24-2 -> 24-3 -> 18-5,1
2-2,2643
2-2 -> 2-3 -> 20-2 -> 20-3 -> 18-5,2
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 15-2 -> 2-3 -> 11-2 -> 11-3 -> 17-5,5
2-2 -> 2-3 -> 24-2 -> 24-3,1
2-2 -> 2-3 -> 15-2 -> 2-3 -> 7-4,15
2-2 -> 2-3 -> 22-2 -> 22-3 -> 22-2 -> 22-3 -> 17-5,42
2-2 -> 2-3 -> 23-2 -> 23-3 -> 3-5 -> 3-5,2
2-2 -> 2-3 -> 9-2 -> 9-3 -> 9-4 -> 14-2 -> 14-3 -> 18-5,48
2-2 -> 2-3 -> 23-2 -> 23-3 -> 23-2 -> 23-3 -> 18-5,3
2-2 -> 2-3 -> 4-4 -> 4-2 -> 4-3 -> 15-2 -> 2-3 -> 4-4,1
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 23-2 -> 23-3 -> 18-5,4
2-2 -> 2-3 -> 15-2 -> 3-5,3
2-2 -> 2-3 -> 22-2 -> 22-3 -> 21-4,1
2-2 -> 2-3 -> 23-2 -> 23-3 -> 21-4 -> 21-2 -> 21-3 -> 23-2 -> 23-3 -> 18-5,1
2-2 -> 2-3 -> 11-2 -> 11-3 -> 6-4 -> 6-2 -> 6-3 -> 17-5,2
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 20-2 -> 20-3 -> 21-4 -> 21-2 -> 21-3 -> 24-2 -> 24-3,4
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 11-2 -> 11-3 -> 17-5 -> 3-5,1
2-2 -> 2-3 -> 22-2 -> 22-3 -> 17-5 -> 3-5,208
2-2 -> 2-3 -> 22-2 -> 22-3 -> 3-5 -> 22-3 -> 17-5 -> 3-5,2
2-2 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 9-2 -> 9-3 -> 9-4 -> 14-2 -> 14-3 -> 17-5,13
2-2 -> 2-3 -> 15-2 -> 2-3 -> 9-2 -> 9-3 -> 9-4,2
2-2 -> 2-3 -> 2-3 -> 5-4 -> 5-2 -> 5-3 -> 11-2 -> 11-3 -> 17-5,1
2-2 -> 2-3 -> 20-2 -> 20-3 -> 21-4 -> 3-5,15
2-2 -> 2-3 -> 19-2 -> 19-3 -> 17-5,120
2-2 -> 17-5 -> 3-5 -> 17-5,1
